,label,count_paragraph,average_words_in_paragraph,count_positive,count_negative,count_image,count_date,num_num_in_df,percent_num_start_1,numberRecordDomain,percentFraudDomain,average_words,noun,num_per_cha(%)
0,1,11,44.72727272727273,30,26,0,0,7,0.2857142857142857,1,1.0,38.90909090909091,415,1.159
1,1,4,38.4,19,11,0,1,0,0.0,2,1.0,31.0,161,0.792
2,1,9,24.9,13,13,0,0,1,0.0,5,1.0,21.6,213,1.6230000000000002
3,1,17,38.22222222222222,43,22,0,0,1,0.0,5,1.0,33.0,621,0.19399999999999998
4,1,40,48.365853658536594,91,57,2,0,6,0.3333333333333333,1,1.0,40.634146341463406,1714,0.239
5,1,7,26.75,10,13,0,0,0,0.0,2,1.0,21.625,186,0.0
6,1,6,40.142857142857146,19,23,0,0,1,0.0,2,1.0,31.714285714285715,244,0.395
7,1,22,60.1304347826087,75,37,0,0,11,0.18181818181818185,5,1.0,51.91304347826087,1187,0.273
8,1,23,56.375,67,42,0,0,35,0.22857142857142854,5,1.0,47.875,1105,1.655
9,1,12,42.307692307692314,36,25,0,0,0,0.0,1,1.0,34.615384615384606,467,0.517
10,1,9,106.1,44,42,0,2,10,0.2,3,1.0,89.3,871,1.148
11,1,14,28.642857142857146,26,25,0,1,0,0.0,3,1.0,23.642857142857146,332,0.17800000000000002
12,1,7,70.625,24,23,0,1,3,0.0,1,1.0,63.375,509,0.5539999999999999
13,1,27,26.777777777777782,36,24,0,2,1,0.0,3,1.0,21.33333333333333,576,0.9279999999999999
14,1,26,14.518518518518519,20,31,0,0,10,0.1,5,1.0,11.888888888888891,298,1.0859999999999999
15,1,27,27.107142857142854,42,40,0,1,4,0.0,2,1.0,24.25,612,0.264
16,1,9,39.1,45,19,0,0,1,1.0,2,1.0,32.4,316,0.225
17,1,11,39.5,29,19,0,0,7,0.5714285714285714,2,1.0,33.583333333333336,384,1.6840000000000002
18,1,26,16.384615384615387,30,12,0,1,6,0.3333333333333333,1,1.0,13.692307692307693,334,1.389
19,1,19,25.55,26,23,0,0,11,0.09090909090909093,6,1.0,22.2,418,1.318
20,1,12,62.08333333333334,42,44,0,0,6,0.5,6,1.0,56.0,636,0.21100000000000002
21,1,21,24.13636363636364,31,26,10,0,2,0.5,1,1.0,21.818181818181817,445,0.465
22,1,6,38.857142857142854,13,16,0,0,5,0.4,1,1.0,35.0,219,1.255
23,1,20,100.71428571428572,79,60,0,0,4,0.0,1,1.0,91.33333333333331,1771,0.054000000000000006
24,1,37,30.13157894736842,55,45,0,0,11,0.09090909090909093,2,1.0,25.02631578947368,998,2.122
25,1,17,33.833333333333336,39,25,0,0,7,0.42857142857142855,2,1.0,28.944444444444446,511,1.272
26,1,65,35.31818181818182,101,87,0,0,5,0.0,1,1.0,30.318181818181817,1974,0.409
27,1,22,39.91304347826087,48,36,0,0,8,0.375,6,1.0,35.30434782608695,717,0.382
28,1,18,40.26315789473684,48,30,0,1,8,0.375,6,1.0,33.473684210526315,619,0.8029999999999999
29,1,73,14.041095890410961,58,33,0,0,12,0.4166666666666667,6,1.0,11.205479452054794,768,0.43200000000000005
30,1,31,16.741935483870968,33,26,0,0,2,0.5,6,1.0,13.967741935483868,403,0.313
31,1,13,13.642857142857142,16,19,0,0,1,1.0,68,1.0,13.0,161,0.228
32,1,10,16.363636363636363,20,14,0,0,1,0.0,68,1.0,14.090909090909092,152,0.129
33,1,10,26.818181818181817,20,19,0,0,1,1.0,68,1.0,24.54545454545455,254,0.076
34,1,15,47.75,45,32,0,7,45,0.08888888888888889,68,1.0,42.125,600,2.48
35,1,7,56.625,15,28,0,1,3,0.6666666666666666,68,1.0,48.875,380,0.259
36,1,9,29.9,35,20,0,0,4,0.75,68,1.0,25.8,251,0.314
37,1,11,97.58333333333331,62,41,0,0,1,1.0,68,1.0,85.25,1012,0.02
38,1,11,14.583333333333336,17,24,0,0,0,0.0,68,1.0,12.833333333333336,152,0.0
39,1,19,80.75,54,50,0,3,8,0.625,68,1.0,72.75,1405,0.742
40,1,10,34.27272727272727,28,27,0,0,2,0.0,68,1.0,29.72727272727273,306,0.183
41,1,35,35.47222222222222,50,69,0,0,9,0.2222222222222222,68,1.0,30.16666666666667,1053,0.38799999999999996
42,1,22,33.39130434782609,57,27,0,0,7,0.8571428571428571,68,1.0,28.47826086956522,648,0.47
43,1,12,27.0,34,16,0,0,0,0.0,68,1.0,23.384615384615387,295,0.0
44,1,18,48.26315789473684,31,30,0,5,7,0.14285714285714285,68,1.0,43.21052631578947,768,0.95
45,1,7,30.5,20,18,0,0,0,0.0,68,1.0,26.375,209,0.0
46,1,17,36.944444444444436,41,32,0,0,5,0.4,68,1.0,31.11111111111111,566,0.40299999999999997
47,1,7,40.5,26,23,0,0,0,0.0,68,1.0,32.75,268,0.0
48,1,30,36.032258064516135,79,69,0,0,1,0.0,68,1.0,31.064516129032263,924,0.12
49,1,7,32.25,13,25,0,0,1,0.0,68,1.0,28.75,205,0.9259999999999999
50,1,6,27.714285714285715,13,18,0,0,4,0.0,68,1.0,24.285714285714285,166,0.48100000000000004
51,1,9,41.6,32,33,0,1,6,0.8333333333333334,68,1.0,35.5,349,1.158
52,1,18,33.68421052631579,50,18,0,0,13,0.6153846153846154,68,1.0,28.894736842105264,522,0.6509999999999999
53,1,12,28.0,13,15,0,0,2,0.0,68,1.0,25.07692307692308,312,0.377
54,1,7,35.5,12,17,0,0,2,0.5,68,1.0,31.875,232,0.16399999999999998
55,1,10,22.818181818181817,16,22,0,0,0,0.0,68,1.0,20.09090909090909,220,0.0
56,1,8,25.0,18,14,0,0,0,0.0,68,1.0,21.555555555555557,197,0.0
57,1,13,15.214285714285715,21,16,0,0,0,0.0,68,1.0,13.428571428571427,180,0.0
58,1,7,41.0,28,19,0,0,2,0.5,68,1.0,35.25,263,0.48100000000000004
59,1,14,79.6,51,49,0,0,18,0.05555555555555555,68,1.0,73.0,985,0.419
60,1,29,46.86666666666667,39,43,0,0,17,0.1176470588235294,68,1.0,43.86666666666667,1146,0.33399999999999996
61,1,64,21.78461538461539,68,54,0,0,22,0.4545454545454545,68,1.0,19.815384615384616,1166,0.508
62,1,37,37.28947368421053,59,59,0,0,16,0.5625,68,1.0,34.421052631578945,1195,0.272
63,1,7,36.0,22,14,0,0,0,0.0,68,1.0,32.0,261,0.0
64,1,7,46.125,25,15,0,0,9,0.1111111111111111,68,1.0,40.5,305,1.119
65,1,9,34.0,26,20,0,0,0,0.0,68,1.0,28.0,284,0.0
66,1,19,17.1,21,17,0,0,9,1.0,68,1.0,15.2,285,0.8109999999999999
67,1,10,36.36363636363637,24,23,0,0,2,0.5,68,1.0,30.363636363636363,334,0.9790000000000001
68,1,22,33.73913043478261,37,23,0,0,13,0.2307692307692308,68,1.0,31.130434782608692,625,0.856
69,1,10,39.72727272727273,30,16,0,0,2,0.0,68,1.0,35.27272727272727,383,0.762
70,1,14,16.0,14,9,0,0,2,0.0,68,1.0,14.266666666666667,193,0.28
71,1,41,21.261904761904766,44,44,0,0,12,0.6666666666666666,68,1.0,19.61904761904762,746,0.327
72,1,16,28.058823529411764,36,23,0,0,3,0.0,68,1.0,25.470588235294123,406,0.14400000000000002
73,1,7,60.25,23,36,0,0,2,0.0,68,1.0,53.0,387,0.091
74,1,35,35.47222222222222,50,69,0,0,9,0.2222222222222222,68,1.0,30.16666666666667,1053,0.38799999999999996
75,1,9,30.8,21,14,0,0,0,0.0,68,1.0,26.8,259,0.0
76,1,6,26.857142857142854,16,13,0,0,0,0.0,68,1.0,22.57142857142857,156,0.0
77,1,12,34.69230769230769,25,24,0,0,0,0.0,68,1.0,29.84615384615385,355,0.0
78,1,8,43.33333333333334,24,26,0,0,0,0.0,68,1.0,36.555555555555564,340,0.0
79,1,8,30.66666666666667,20,28,0,0,1,0.0,68,1.0,25.444444444444446,235,0.083
80,1,8,33.77777777777778,23,23,0,0,1,0.0,68,1.0,28.777777777777782,252,0.075
81,1,7,27.375,15,20,0,0,0,0.0,68,1.0,24.0,184,0.405
82,1,5,61.16666666666666,34,32,0,0,0,0.0,68,1.0,49.83333333333334,313,0.0
83,1,11,34.75,24,23,0,0,1,0.0,68,1.0,29.5,357,0.10400000000000001
84,1,10,38.45454545454545,29,34,0,0,4,0.25,68,1.0,33.09090909090909,346,0.266
85,1,9,36.0,23,26,0,0,0,0.0,68,1.0,31.9,290,0.0
86,1,12,17.53846153846154,28,18,0,0,0,0.0,68,1.0,15.538461538461537,186,0.0
87,1,12,16.46153846153846,23,17,0,0,1,0.0,68,1.0,14.307692307692307,197,0.319
88,1,9,34.3,28,21,0,0,4,0.5,68,1.0,29.9,281,0.259
89,1,12,24.461538461538463,21,20,0,1,2,0.0,68,1.0,21.69230769230769,257,0.643
90,1,13,16.642857142857142,14,16,0,0,3,0.0,68,1.0,14.928571428571427,209,0.301
91,1,14,56.2,50,26,0,0,14,0.21428571428571427,68,1.0,49.73333333333333,732,0.691
92,1,5,44.83333333333334,14,17,0,0,0,0.0,68,1.0,37.833333333333336,233,0.0
93,1,8,34.666666666666664,15,28,0,0,4,0.0,68,1.0,29.444444444444446,262,0.44
94,1,14,21.0,31,25,0,0,1,1.0,68,1.0,18.8,265,0.07400000000000001
95,1,11,46.25,31,32,0,0,5,0.0,68,1.0,40.91666666666666,456,0.813
96,1,9,38.0,27,17,0,0,2,0.0,68,1.0,33.9,311,0.244
97,1,13,63.57142857142857,38,45,0,0,11,0.0,68,1.0,54.78571428571429,741,0.713
98,1,25,65.88461538461539,77,50,0,0,8,0.25,68,1.0,58.230769230769226,1434,0.24
99,1,18,41.526315789473685,22,35,0,2,2,0.0,1,1.0,37.8421052631579,658,0.885
100,0,12,35.07692307692308,33,30,0,1,3,0.0,1,0.0,29.153846153846153,380,1.011
101,0,18,34.21052631578947,25,23,0,1,1,0.0,6,0.0,30.26315789473684,560,0.235
102,0,19,44.15,45,38,0,7,10,0.0,6,0.0,38.85,730,0.925
103,0,27,45.25,75,37,0,1,9,0.1111111111111111,6,0.0,37.82142857142857,1067,0.946
104,0,16,41.941176470588225,45,20,0,2,4,0.0,6,0.0,33.529411764705884,597,0.632
105,0,22,41.26086956521739,35,29,0,3,20,0.05,6,0.0,33.17391304347826,783,2.1319999999999997
106,0,12,61.769230769230774,31,25,0,0,7,0.0,5,0.0,49.846153846153854,702,1.226
107,0,9,23.8,13,16,0,1,6,0.3333333333333333,73,0.0,21.9,198,1.284
108,0,2,26.33333333333333,10,9,0,0,2,0.0,2,0.0,22.33333333333333,67,2.279
109,0,8,36.555555555555564,23,18,0,3,5,0.4,73,0.0,33.77777777777778,269,1.6340000000000001
110,0,27,36.785714285714285,35,29,0,2,25,0.44,73,0.0,34.464285714285715,830,1.871
111,0,13,33.285714285714285,23,21,0,3,0,0.0,73,0.0,27.07142857142857,362,1.08
112,0,6,31.57142857142857,24,15,0,1,3,0.3333333333333333,73,0.0,27.714285714285715,184,0.7979999999999999
113,0,7,32.0,19,20,0,2,8,0.125,73,0.0,28.625,199,2.128
114,0,9,47.9,23,21,0,4,21,0.14285714285714285,73,0.0,43.2,387,3.47
